Date,Open,High,Low,Close,Volume
2023-01-01,100.00,105.50,99.25,104.75,1500000
2023-01-02,104.75,107.20,103.80,106.90,1800000
2023-01-03,106.90,108.45,105.60,107.25,1200000
2023-01-04,107.25,109.80,106.50,108.95,1600000
2023-01-05,108.95,110.20,107.75,109.50,1400000
2023-01-06,109.50,111.30,108.90,110.85,1700000
2023-01-07,110.85,112.40,110.20,111.60,1300000
2023-01-08,111.60,113.25,110.95,112.80,1900000
2023-01-09,112.80,114.10,111.70,113.45,1550000
2023-01-10,113.45,115.20,112.80,114.90,1650000
2023-01-11,114.90,116.50,114.20,115.75,1750000
2023-01-12,115.75,117.30,115.10,116.85,1450000
2023-01-13,116.85,118.60,116.20,117.95,1850000
2023-01-14,117.95,119.40,117.30,118.70,1350000
2023-01-15,118.70,120.25,118.10,119.80,1950000
2023-01-16,119.80,121.50,119.20,120.95,1250000
2023-01-17,120.95,122.70,120.30,121.85,1750000
2023-01-18,121.85,123.40,121.20,122.60,1650000
2023-01-19,122.60,124.20,122.00,123.45,1550000
2023-01-20,123.45,125.10,122.80,124.75,1850000
2023-01-21,124.75,126.30,124.20,125.60,1450000
2023-01-22,125.60,127.20,125.00,126.85,1750000
2023-01-23,126.85,128.50,126.30,127.95,1350000
2023-01-24,127.95,129.60,127.40,128.75,1950000
2023-01-25,128.75,130.40,128.20,129.85,1250000
2023-01-26,129.85,131.50,129.30,130.70,1650000
2023-01-27,130.70,132.30,130.20,131.85,1550000
2023-01-28,131.85,133.60,131.30,132.95,1750000
2023-01-29,132.95,134.70,132.40,133.80,1450000
2023-01-30,133.80,135.50,133.30,134.95,1850000
2023-01-31,134.95,136.80,134.40,135.75,1350000
2023-02-01,135.75,137.40,135.20,136.85,1950000
2023-02-02,136.85,138.60,136.30,137.95,1250000
2023-02-03,137.95,139.70,137.40,138.80,1650000
2023-02-04,138.80,140.50,138.30,139.65,1550000
2023-02-05,139.65,141.40,139.10,140.75,1750000
2023-02-06,140.75,142.30,140.20,141.60,1450000
2023-02-07,141.60,143.20,141.10,142.85,1850000
2023-02-08,142.85,144.60,142.30,143.95,1350000
2023-02-09,143.95,145.70,143.40,144.80,1950000
2023-02-10,144.80,146.50,144.30,145.95,1250000
2023-02-11,145.95,147.80,145.40,146.75,1650000
2023-02-12,146.75,148.60,146.20,147.85,1550000
2023-02-13,147.85,149.50,147.30,148.70,1750000
2023-02-14,148.70,150.40,148.20,149.85,1450000
2023-02-15,149.85,151.60,149.30,150.95,1850000
2023-02-16,150.95,152.70,150.40,151.80,1350000
2023-02-17,151.80,153.50,151.30,152.95,1950000
2023-02-18,152.95,154.80,152.40,153.75,1250000
2023-02-19,153.75,155.60,153.20,154.85,1650000
2023-02-20,154.85,156.50,154.30,155.70,1550000
